id do Tweet,link permanente do Tweet,texto do Tweet,horário,impressões,interações,taxa de envolvimento,retweets,respostas,favoritos,cliques no perfil do usuário:,cliques no URL,cliques em hashtags:,expansões de detalhes:,cliques no link permanente,aberturas de aplicativos,instalações de aplicativo:,seguiram,Tweet enviado por e-mail,número de telefone discado,visualizações da mídia,engajamentos com mídia,impressões promovido(a)(s),interações promovido(a)(s),taxa de envolvimento promovido(a)(s),retweets promovido(a)(s),respostas promovido(a)(s),favoritos promovido(a)(s),cliques no perfil do usuário: promovido(a)(s),cliques no URL promovido(a)(s),cliques em hashtags: promovido(a)(s),expansões de detalhes: promovido(a)(s),cliques no link permanente promovido(a)(s),aberturas de aplicativos promovido(a)(s),instalações de aplicativo: promovido(a)(s),seguiram promovido(a)(s),Tweet enviado por e-mail promovido(a)(s),número de telefone discado promovido(a)(s),visualizações da mídia promovido(a)(s),engajamentos com mídia promovido(a)(s)
1014616679723216896,https://twitter.com/camaradeputados/status/1014616679723216896,Plenário conclui votação de projeto sobre áreas do pré-sal. O texto permite à Petrobras transferir a outras petroleiras até 70% de seus direitos de exploração do pré-sal. https://t.co/bKCempbfkf #PreSal,2018-07-04 21:07 +0000,15373.0,161.0,1.05E+21,15.0,16.0,32.0,3.0,18.0,2.0,75.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014621238818496518,https://twitter.com/camaradeputados/status/1014621238818496518,"Plenário discute proposta que viabiliza privatização de distribuidoras de energia. Veja, ao vivo: https://t.co/f9AsAJJfw2",2018-07-04 21:25 +0000,8897.0,55.0,6.18E+20,6.0,8.0,18.0,10.0,8.0,0.0,5.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014627648054681600,https://twitter.com/camaradeputados/status/1014627648054681600,Comissão aprova crédito para assistência a venezuelanos e intervenção no RJ. https://t.co/52SJ3rBxCf,2018-07-04 21:50 +0000,8178.0,41.0,5.01E+20,5.0,9.0,9.0,7.0,9.0,0.0,2.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014631973623656448,https://twitter.com/camaradeputados/status/1014631973623656448,Política nacional de preços mínimos para o transporte rodoviário de cargas avança na Câmara com aprovação de relatório em comissão. https://t.co/fJA9GpPOUZ #Transportes,2018-07-04 22:08 +0000,6115.0,16.0,2.62E+20,3.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014637818302337024,https://twitter.com/camaradeputados/status/1014637818302337024,Câmara aprova permissão para Petrobras negociar áreas do pré-sal. Saiba mais: https://t.co/gRRtP4AcCe #Petrobras,2018-07-04 22:31 +0000,7210.0,37.0,5.13E+20,6.0,4.0,7.0,0.0,3.0,2.0,15.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014641973427400704,https://twitter.com/camaradeputados/status/1014641973427400704,Privatização de seis distribuidoras de energia gera embate em Plenário. Acompanhe conosco: https://t.co/0yxRYFYt2v #Plenário,2018-07-04 22:47 +0000,5827.0,24.0,4.12E+20,2.0,5.0,4.0,0.0,12.0,0.0,1.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014650627467694081,https://twitter.com/camaradeputados/status/1014650627467694081,"Privatização da Eletrobras será discutida depois da eleição presidencial, diz relator da proposta. https://t.co/k7Pn0iXicc #Eletrobras",2018-07-04 23:22 +0000,8209.0,53.0,64563284200268,6.0,5.0,16.0,7.0,9.0,4.0,6.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014655207974817792,https://twitter.com/camaradeputados/status/1014655207974817792,Relatório com sugestões para reduzir dívidas de produtores rurais é aprovado por comissão externa. https://t.co/9IxZ6X9ADz #Agropecuária,2018-07-04 23:40 +0000,6561.0,22.0,3.35E+20,4.0,2.0,4.0,4.0,4.0,1.0,3.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014658221141905408,https://twitter.com/camaradeputados/status/1014658221141905408,"Câmara cria CPI para investigar vazamento de rejeitos de mineração em Barcarena, Pará. https://t.co/QYO6Ivoi3o #MeioAmbiente",2018-07-04 23:52 +0000,7134.0,31.0,4.35E+20,5.0,2.0,15.0,2.0,2.0,4.0,1.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014661446188363776,https://twitter.com/camaradeputados/status/1014661446188363776,Relatório dá aos estados prerrogativa de unificar polícias Civil e Militar. https://t.co/PCwOCUHnbn #Segurança,2018-07-05 00:05 +0000,7538.0,71.0,941894401698063,8.0,0.0,13.0,5.0,30.0,3.0,12.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014681275125456897,https://twitter.com/camaradeputados/status/1014681275125456897,Proposta de Lei Geral das Agências Reguladoras (PL 6621/16) recebe um novo parecer que acata 16 emendas apresentadas pelos integrantes da Comissão Especial. https://t.co/ysYSRk1Bvu,2018-07-05 01:24 +0000,7580.0,54.0,712401055408971,6.0,3.0,11.0,3.0,22.0,0.0,9.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014682294248976384,https://twitter.com/camaradeputados/status/1014682294248976384,Rejeitados pelo Plenário os requerimentos da oposição contra projeto sobre privatização de distribuidoras de energia controladas pelas Eletrobras. https://t.co/BBAmLqFjvL,2018-07-05 01:28 +0000,11005.0,84.0,7.63E+20,11.0,12.0,26.0,5.0,20.0,0.0,10.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014690221928206336,https://twitter.com/camaradeputados/status/1014690221928206336,"O Plenário aprovou, por 203 votos a 123, o texto-base do PL 10332/18, que viabiliza a privatização de seis distribuidoras de energia controladas pelas Eletrobras. https://t.co/rT7vckdnvT",2018-07-05 01:59 +0000,13786.0,153.0,1.11E+21,26.0,11.0,53.0,5.0,27.0,0.0,31.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014692006499676160,https://twitter.com/camaradeputados/status/1014692006499676160,"Em discussão agora no Plenário a MP 824/2018, que dispõe sobre a Política Nacional de Irrigação. Acompanhe ao vivo:  https://t.co/Eognvu8Kfu",2018-07-05 02:06 +0000,11878.0,24.0,2.02E+21,2.0,2.0,10.0,1.0,3.0,0.0,5.0,0.0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014695299409997824,https://twitter.com/camaradeputados/status/1014695299409997824,"@negroversatil30 Gustavo, acompanhe aqui o andamento dos trabalhos da Comissão Especial. https://t.co/LGGBhcm2hD Nova reunião será marcada em breve.",2018-07-05 02:19 +0000,88.0,10.0,1.14E+21,0.0,0.0,1.0,2.0,1.0,0.0,6.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014703885729050624,https://twitter.com/camaradeputados/status/1014703885729050624,Plenário encerra sessão e adia análise da MP 824/2018.,2018-07-05 02:53 +0000,5847.0,21.0,3.59E+21,0.0,0.0,6.0,12.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014854355369984001,https://twitter.com/camaradeputados/status/1014854355369984001,Assista ao vivo: 1° Seminário Internacional sobre Educação e Saúde na Terceira Idade. Participe do debate enviando perguntas e sugestões: https://t.co/BwMF4o74hq #Idosos,2018-07-05 12:51 +0000,5431.0,17.0,3.13E+21,1.0,1.0,6.0,0.0,6.0,0.0,3.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014860809363771392,https://twitter.com/camaradeputados/status/1014860809363771392,"Você acha que falta apoio para o futebol feminino no Brasil? Assista conosco, agora, ao vivo. Envie suas perguntas, participe! https://t.co/iWxSMeoqIK  #FutebolFeminino",2018-07-05 13:17 +0000,11133.0,57.0,5.12E+20,4.0,16.0,18.0,4.0,3.0,4.0,7.0,0.0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1014877508565635073,https://twitter.com/camaradeputados/status/1014877508565635073,Projeto que torna obrigatório à União financiar o transporte público para idosos é aprovado em comissão. https://t.co/Ij3On50RNa #Idosos,2018-07-05 14:23 +0000,6534.0,52.0,795837159473523,5.0,4.0,18.0,3.0,12.0,0.0,10.0,0.0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
