Número de identificação da publicação,Link permanente,Publicar mensagem,Tipo,Países,Idiomas,Publicado,Direcionamento do público,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - unlike_page_clicks,Lifetime Negative Feedback from Users by Type - report_spam_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Lifetime Negative Feedback by Type - unlike_page_clicks,Lifetime Negative Feedback by Type - report_spam_clicks,,
316136345150243_1846702285426967,https://www.facebook.com/camaradeputados/posts/1846702285426967,"No projeto em debate, taxa só poderá ser justificada estiverem submetidas a procedimento de licenciamento ou autorização ambiental de competência da União. https://goo.gl/jFemjM",Photo,,,10/29/2018 3:01:01 PM, ,6060,6060,0,7732,7732,0,83,46,52,2,2,6674,5213,0,0,75,0,0,0,0,0,0,0,0,0,0,10,38,,11,40,,23,20,9,,23,20,9,,1,1,,,1,1,,,,
316136345150243_1853329491430913,https://www.facebook.com/camaradeputados/posts/1853329491430913:0,Dicionário legislativo,Photo,,,10/29/2018 10:35:49 AM, ,5433,5433,0,6960,6960,0,70,39,49,3,3,5824,4180,0,0,63,0,0,0,0,0,0,0,0,0,0,9,28,3,9,31,4,24,16,,,29,20,,,1,2,,,1,2,,,,
316136345150243_1846710988759430,https://www.facebook.com/camaradeputados/posts/1846710988759430,Entenda melhor os termos usados nos debates e votações na Câmara. Na semana passada explicamos o que é Votação! https://goo.gl/zv47bY,Video,,,10/29/2018 10:30:01 AM, ,1835,1835,0,2563,2563,0,55,33,39,1,1,1980,1372,0,0,35,197,197,0,0,277,281,0,0,2465,4300,6,13,3,6,15,3,11,,,19,16,,,20,,1,,,,1,,,,
316136345150243_1846701145427081,https://www.facebook.com/camaradeputados/posts/1846701145427081,"Sim, é desconto mesmo quando faltar água. O valor será baseado na estimativa de consumo nos dias de interrupção do fornecimento. Projeto segue para análise da CCJ. https://goo.gl/2ZSZaB",Photo,,,10/29/2018 7:31:00 AM, ,11258,11258,0,14617,14617,0,465,254,341,4,4,10102,7739,0,0,357,0,0,0,0,0,0,0,0,0,0,92,217,22,99,234,25,203,64,12,,257,72,12,,2,2,,,2,2,,,,
316136345150243_1851511524946043,https://www.facebook.com/camaradeputados/posts/1851511524946043,Acompanhe ao vivo o debate e as apurações do segundo turno das eleições https://www.youtube.com/watch?v=KCIJQV5uN6w #EleicoesCamara2018 #Eleicoes2018,Link,,,10/28/2018 2:12:08 PM, ,6702,6702,0,8952,8952,0,108,81,87,1,1,8065,5962,0,0,97,0,0,0,0,0,0,0,0,0,0,5,26,2,5,26,2,17,,65,,21,,66,,,1,,,,1,,,,
316136345150243_1826182054145657,https://www.facebook.com/camaradeputados/posts/1826182054145657,"O prazo de 45 dias inclui produtos e serviços contratados por telefone, meios eletrônicos de comunicação ou a domicílio.O objetivo da proposta é aumentar a proteção a prática abusivas praticadas a idosos. https://goo.gl/C1cWQS",Photo,,,10/26/2018 2:01:00 PM, ,11762,11762,0,16001,16001,0,522,313,417,3,3,8007,6061,0,0,286,0,0,0,0,0,0,0,0,0,0,70,278,30,73,299,37,254,65,16,,331,68,18,,,3,,,,3,,,,
316136345150243_1846770165420179,https://www.facebook.com/camaradeputados/posts/1846770165420179,Veja o relatório do debate sobre a intervenção que aconteceu nas redes sociais nessa última semana: https://goo.gl/UB5a93 #olerj,Photo,,,10/26/2018 10:30:00 AM, ,4514,4514,0,5936,5936,0,52,26,31,2,2,5237,3948,0,0,46,0,0,0,0,0,0,0,0,0,0,6,25,,6,26,,9,14,7,,10,14,7,,,2,,,,2,,,,
316136345150243_1846675468762982,https://www.facebook.com/camaradeputados/posts/1846675468762982,"Solta o som, DJ! Serão considerados profissionais da área quem cria seleções de músicas, manipula obras fonográficas, cria ou recria versões e executa montagens sonoras para a criação de obras inéditas. Texto segue para o Senado. https://goo.gl/ZQnyTj",Photo,,,10/26/2018 6:31:00 AM, ,30093,30093,0,42583,42583,0,2577,2135,3213,9,9,17127,12599,0,0,875,0,0,0,0,0,0,0,0,0,0,136,781,303,160,858,441,1951,291,105,,2768,332,113,,1,8,,,1,8,,,,
316136345150243_1818910871539442,https://www.facebook.com/camaradeputados/posts/1818910871539442,"O Samu poderá passar a receber 2% do valor que os segurados pagam por seguros de vida ou contra acidentes pessoais. Hoje, ele é custeado apenas pelo governo. https://goo.gl/qNX2e9",Photo,,,10/25/2018 3:01:00 PM, ,7634,7634,0,9956,9956,0,313,212,287,6,6,8272,6508,0,0,270,0,0,0,0,0,0,0,0,0,0,23,125,41,23,130,59,181,35,14,,237,36,14,,3,3,,,3,3,,,,
316136345150243_1846678535429342,https://www.facebook.com/camaradeputados/posts/1846678535429342,É comum ver um cerimonialista em ação. Mas sabia que a profissão ainda não é regulamentada? Projeto aprovado pela Câmara garante o livre exercício de profissionais sem vinculação a formação acadêmica ou profissional específica. Proposta segue para o Senado Federal https://goo.gl/CnvhqP,Photo,,,10/25/2018 10:29:00 AM, ,8272,8272,0,10344,10344,0,336,254,363,5,5,8448,6906,0,0,245,0,0,0,0,0,0,0,0,0,0,24,110,39,26,114,50,236,27,17,,318,27,18,,1,4,,,1,4,,,,
