"id do Tweet","link permanente do Tweet","texto do Tweet","horário","impressões","interações","taxa de envolvimento","retweets","respostas","favoritos","cliques no perfil do usuário:","cliques no URL","cliques em hashtags:","expansões de detalhes:","cliques no link permanente","aberturas de aplicativos","instalações de aplicativo:","seguiram","Tweet enviado por e-mail","número de telefone discado","visualizações da mídia","engajamentos com mídia","impressões promovido(a)(s)","interações promovido(a)(s)","taxa de envolvimento promovido(a)(s)","retweets promovido(a)(s)","respostas promovido(a)(s)","favoritos promovido(a)(s)","cliques no perfil do usuário: promovido(a)(s)","cliques no URL promovido(a)(s)","cliques em hashtags: promovido(a)(s)","expansões de detalhes: promovido(a)(s)","cliques no link permanente promovido(a)(s)","aberturas de aplicativos promovido(a)(s)","instalações de aplicativo: promovido(a)(s)","seguiram promovido(a)(s)","Tweet enviado por e-mail promovido(a)(s)","número de telefone discado promovido(a)(s)","visualizações da mídia promovido(a)(s)","engajamentos com mídia promovido(a)(s)"
"1047537677816541184","https://twitter.com/camaradeputados/status/1047537677816541184","@vanessamrc2 Obrigado pela sua participação, Vanessa!","2018-10-03 17:23 +0000","58.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1047530760427716608","https://twitter.com/camaradeputados/status/1047530760427716608","Sete anos poderá ser a idade máxima para alfabetização de alunos da rede pública. Conheça o projeto que estabelece esta meta: https://t.co/GceNF3XfH0 #Educação","2018-10-03 16:56 +0000","6714.0","40.0","0.005957700327673518","0.0","3.0","12.0","1.0","12.0","5.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1047513697638371329","https://twitter.com/camaradeputados/status/1047513697638371329","Vítima de violência doméstica deverá ser notificada pessoalmente sobre a saída de agressor da prisão. Este projeto de lei está em tramitação. https://t.co/F27eeYKT6y #ViolênciaDoméstica","2018-10-03 15:48 +0000","12732.0","103.0","0.008089852340559221","18.0","9.0","51.0","1.0","10.0","2.0","12.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1047495727956541440","https://twitter.com/camaradeputados/status/1047495727956541440","A vacinação é essencial para saúde do seu filho. Faça o melhor para o seu filho, vacine-o. #CompartilheAVerdade #FakeNewsMatam https://t.co/nBB06lVI52","2018-10-03 14:36 +0000","7993.0","27.0","0.0033779557112473416","4.0","0.0","16.0","2.0","0.0","1.0","4.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1047476212333993984","https://twitter.com/camaradeputados/status/1047476212333993984","@LagoFestas Oi","2018-10-03 13:19 +0000","708.0","1.0","0.0014124293785310734","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1047472936553201665","https://twitter.com/camaradeputados/status/1047472936553201665","Fotografias publicitárias com retoques digitais em modelos poderão ser obrigadas a informar as alterações gráficas, caso o projeto seja aprovado. Saiba mais: https://t.co/Ii9JZmTOSY #Publicidade","2018-10-03 13:06 +0000","8844.0","50.0","0.005653550429669833","1.0","6.0","15.0","6.0","11.0","0.0","11.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1047214450732949504","https://twitter.com/camaradeputados/status/1047214450732949504","Boatos e notícias falsas prejudicaram a vacinação, principalmente das crianças. Vamos reverter esse quadro. Participe também dessa campanha #CompartilheAVerdade #FakeNewsMatam https://t.co/U8ZYXbqh9I","2018-10-02 19:59 +0000","8617.0","35.0","0.004061738424045491","7.0","2.0","12.0","1.0","1.0","0.0","11.0","1.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1047207211028697088","https://twitter.com/camaradeputados/status/1047207211028697088","Veículo alugado por órgão público poderá ter adesivo com valor do contrato. Saiba mais: https://t.co/qKcprcFKuJ #AdministraçãoPública","2018-10-02 19:30 +0000","8694.0","42.0","0.004830917874396135","4.0","5.0","16.0","2.0","10.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1047190883114860544","https://twitter.com/camaradeputados/status/1047190883114860544","Empresas poderão deduzir do IR doações a entidades protetoras dos animais. Conheça o projeto: https://t.co/qdeeXrXpcg #DireitosdosAnimais","2018-10-02 18:25 +0000","7947.0","32.0","0.0040266767333585","4.0","2.0","15.0","3.0","6.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1047178726646194178","https://twitter.com/camaradeputados/status/1047178726646194178","Farmácias poderão ser obrigadas a divulgar lista de medicamentos que são gratuitos pelos SUS. Saiba mais sobre o projeto, que tramita na Câmara: https://t.co/LONzgwXc0n #Saúde","2018-10-02 17:37 +0000","9624.0","110.0","0.01142975893599335","13.0","0.0","65.0","6.0","10.0","3.0","13.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1047149143355994113","https://twitter.com/camaradeputados/status/1047149143355994113","@fabianokibe Olá, Fabiano! A Câmara está aberta para receber sua sugestão. Existe um espaço específico que você pode sugerir seu projeto de lei. Acesse: https://t.co/KCgMtdLqpK","2018-10-02 15:39 +0000","47.0","3.0","0.06382978723404255","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1046840113991471105","https://twitter.com/camaradeputados/status/1046840113991471105","@Fonfont Obrigado pela sua participação, Simone!","2018-10-01 19:11 +0000","125.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1046776571527409665","https://twitter.com/camaradeputados/status/1046776571527409665","Lei que garante atendimento prioritário e mecanismos de proteção a pessoas com mais de 60 anos completa 15 anos; Câmara estuda atualização do texto. https://t.co/i8j32lrAme #EstatutodoIdoso #Idoso","2018-10-01 14:59 +0000","7555.0","48.0","0.006353408338848445","2.0","2.0","19.0","2.0","9.0","3.0","11.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
